#,PLANTA,FRUTO,SEVERIDAD (%),"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)",INCIDENCIA,
36,PL004,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
37,PL004,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
38,PL004,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
39,PL004,9,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
40,PL004,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
41,PL005,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
42,PL005,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
43,PL005,3,40,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
44,PL005,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
45,PL005,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
46,PL005,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
47,PL005,7,60,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
48,PL005,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
49,PL005,9,70,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
50,PL005,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
51,PL006,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
52,PL006,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
53,PL006,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
54,PL006,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
55,PL006,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
56,PL006,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
57,PL006,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
58,PL006,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
59,PL006,9,40,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
60,PL006,10,30,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
61,PL007,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
62,PL007,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
63,PL007,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
64,PL007,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
65,PL007,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
66,PL007,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
67,PL007,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
68,PL007,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
69,PL007,9,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
70,PL007,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
71,PL008,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
72,PL008,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
73,PL008,3,50,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
