classes,functions,duplicated_lines,complexity,comment_lines,files,lines,statements,bugs,Toxicos
781,4891,6118,8400,7874,1670,240535,14014,1355,2
781,4891,6118,8400,7874,1670,240535,14014,1355,2
781,4891,6118,8400,7874,1670,240535,14014,1355,2
781,4891,6118,8400,7874,1670,240535,14014,1355,2
781,4891,6118,8400,7874,1670,240535,14014,1355,2
781,4891,6118,8400,7874,1670,240543,14014,1358,2
1095,10387,6118,18206,15108,1671,240502,38856,1358,2
1095,10387,6118,18206,15108,1671,240502,38856,1358,2
1095,10387,6118,18206,15108,1671,240502,38856,1358,2
1082,10180,6052,17799,14814,1661,237266,38130,1364,2
1082,10180,6052,17799,14814,1661,237266,38130,1364,2
1082,10180,6052,17799,14814,1661,237266,38130,1364,2
1082,10182,6052,17799,14822,1661,237291,38126,1366,2
1082,10182,6052,17799,14822,1661,237291,38126,1366,2
1082,10182,6052,17799,14822,1661,237291,38126,1367,2
0,0,0,0,0,0,0,0,0,1
4643,32525,3161,49487,16864,5178,498793,83596,22,0
4643,32525,3161,49487,16864,5178,498793,83596,24,0
5054,32486,4296,48781,16285,5457,500083,83637,23,0
5034,32319,4264,48447,16291,5444,497936,83157,35,0
5019,32237,4241,48274,16257,5413,495529,82908,33,0
5007,32121,4446,48048,16308,5381,492605,82462,30,0
4969,32257,4402,48141,16422,5284,490091,82212,97,0
4925,31971,4575,47716,16381,5221,485389,81894,96,0
4880,31878,4959,47622,16287,5179,482433,81097,93,0
4566,31448,4205,47273,16142,4862,469784,80041,51,0
4060,23948,3067,33049,15676,4868,469205,65261,51,0
4536,30992,4210,46517,16085,4772,462831,78655,52,0
4524,30797,3917,46242,16118,4744,460385,78261,60,0
0,0,0,0,0,0,0,0,0,1
1340,11289,5730,20705,33045,1151,207203,52783,87,2
1337,11243,5567,20564,32953,1148,206234,52416,82,2
1334,11218,5567,20507,32947,1145,205830,52281,83,2
1332,11199,5529,20494,32913,1143,205461,52252,75,2
1324,11088,5534,20280,32714,1138,203935,51837,82,2
1311,10994,5592,20056,32510,1129,203137,51379,75,2
1311,10993,5592,20051,32559,1129,203190,51372,76,2
0,0,0,0,0,0,0,0,0,1
16370,137906,61777,270503,127414,13775,2204296,618608,179,0
34152,279209,71755,544544,297070,29253,4484222,1241628,55,0
13171,107348,35737,205264,114715,11237,1692044,460670,405,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
1818,9354,0,14598,12229,2744,202275,56687,0,2
0,0,0,0,0,0,0,0,0,1
1371,7056,0,11010,9225,2061,152313,42825,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
457,2352,0,3670,3075,687,50771,14275,0,1
2270,11724,0,18287,15170,3403,233946,70927,0,2
792,4536,0,7112,5460,1228,54092,26446,0,1
396,2268,0,3556,2730,614,27046,13223,0,1
1188,6807,0,10666,8181,1842,81131,39653,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
396,2266,0,3549,2724,614,27100,13198,0,1
1980,11327,0,17736,13612,3070,135397,65940,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
2376,13593,0,21278,16329,3684,162434,79132,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
1188,6801,0,10644,8172,1842,81231,39564,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
396,2267,0,3546,2724,614,27072,13184,0,1
1188,6756,0,10599,8160,1842,81003,39450,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
802,4542,0,7126,5496,1240,54366,26568,0,1
1199,6785,0,10640,8208,1856,81119,39623,0,1
0,0,0,0,0,0,0,0,0,1
399,2257,0,3539,2730,618,26974,13173,0,1
798,4514,0,7078,5466,1236,53930,26338,0,1
0,0,0,0,0,0,0,0,0,1
399,2248,0,3528,2729,617,26910,13138,0,1
2793,15736,0,24717,19040,4319,188405,91987,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
1995,11235,0,17645,13570,3085,134508,65665,0,2
0,0,0,0,0,0,0,0,0,1
399,2220,0,3488,2700,616,26498,13004,0,1
804,4447,0,6964,5401,1242,53006,26083,0,1
402,2223,0,3481,2700,621,26498,13042,0,1
402,2223,0,3481,2700,621,26498,13042,0,1
398,2218,0,3474,2683,615,26377,12985,0,1
1087,6385,0,10063,7409,1750,75322,36763,0,1
360,2104,0,3322,2409,582,24840,12104,0,1
360,2098,0,3314,2393,582,24766,12074,0,1
1080,6290,0,9935,7143,1746,74245,36239,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
646,4243,0,6668,4175,774,46623,23134,0,1
315,2097,0,3289,2003,368,22685,11328,0,1
1258,8380,0,13121,7874,1405,90052,45010,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
313,2090,0,3273,1936,346,22266,11180,0,1
