Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
192,2.909090909,29931,24,1.143232094,1
226,3.64516129,29739,31,0.841397823,1
234,3.295774648,29513,23,0.950412716,1
220,3.492063492,29279,22,1.197898279,1
5,5.0,29059,2,48.0,1
0,0.0,29054,0,0.0,1
163,0.594890511,17500,15,0.904495478,2
78,1.5,17337,5,4.19471466,2
20,1.333333333,17259,5,10.34482759,2
296,1.672316384,17239,15,0.588719191,2
229,1.25136612,16943,18,0.661746497,2
30,1.764705882,16714,5,7.631874299,2
99,2.911764706,16684,9,2.807000157,2
0,0.0,16585,0,0.0,2
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,2148,0,0.0,0
16,5.333333333,2148,2,42.96875,0
0,0.0,2132,0,0.0,0
7,7.0,2132,1,100.0,0
0,0.0,2125,0,0.0,0
0,0.0,2125,0,0.0,0
8,4.0,2125,1,100.0,0
64,1.488372093,2117,3,8.217131474,0
12,1.333333333,2053,2,48.61111111,0
4,4.0,2041,2,37.5,0
17,1.545454545,2037,2,48.44290657,0
0,0.0,2020,0,0.0,0
0,0.0,2020,0,0.0,0
3,3.0,2020,1,100.0,0
12,12.0,2017,1,100.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
19,19.0,2005,2,26.59279778,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
11,11.0,1986,1,100.0,0
0,0.0,1975,0,0.0,0
0,0.0,1975,0,0.0,0
3,1.5,1975,2,44.44444444,0
15,7.5,1972,3,15.25423729,0
0,0.0,1957,0,0.0,0
0,0.0,1957,0,0.0,0
3,3.0,1957,1,100.0,0
18,1.384615385,1954,3,22.10526316,0
0,0.0,1936,0,0.0,0
7,7.0,1936,2,24.48979592,0
9,3.0,1929,1,100.0,0
0,0.0,1920,0,0.0,0
12,1.714285714,1920,2,48.61111111,0
22,11.0,1908,2,29.75206612,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
32,1.777777778,1886,2,49.8046875,0
0,0.0,1854,0,0.0,0
11,1.833333333,1854,4,13.75921376,0
10,0.833333333,1843,2,48.0,0
4,4.0,1833,1,100.0,0
9,9.0,1829,2,44.44444444,0
3,1.5,1820,1,100.0,0
67,1.970588235,1817,4,3.770620581,0
6,2.0,1750,2,44.44444444,0
11,5.5,1744,2,46.28099174,0
14,7.0,1733,2,48.97959184,0
0,0.0,1719,0,0.0,0
0,0.0,1719,0,0.0,0
16,2.0,1719,3,14.42307692,0
5,0.833333333,1703,2,48.0,0
16,4.0,1698,2,30.46875,0
0,0.0,1682,0,0.0,0
0,0.0,1682,0,0.0,0
0,0.0,1682,0,0.0,0
11,5.5,1682,2,39.66942149,0
11,11.0,1671,1,100.0,0
0,0.0,1660,0,0.0,0
0,0.0,1660,0,0.0,0
1,1.0,1660,1,100.0,0
24,4.0,1659,4,10.41666667,0
25,2.5,1635,4,11.29411765,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
8,2.0,1610,2,37.5,0
22,1.571428571,1602,3,27.27272727,0
4,4.0,1580,1,100.0,0
5,5.0,1576,2,32.0,0
2,2.0,1571,1,100.0,0
0,0.0,1569,0,0.0,0
