Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight
11,5.5,1744,2,46.28099174
14,7,1733,2,48.97959184
0,0,1719,0,0
0,0,1719,0,0
16,2,1719,3,14.42307692
5,0.833333333,1703,2,48
16,4,1698,2,30.46875
0,0,1682,0,0
0,0,1682,0,0
0,0,1682,0,0
11,5.5,1682,2,39.66942149
11,11,1671,1,100
0,0,1660,0,0
0,0,1660,0,0
1,1,1660,1,100
24,4,1659,4,10.41666667
25,2.5,1635,4,11.29411765
0,0,1610,0,0
0,0,1610,0,0
0,0,1610,0,0
0,0,1610,0,0
8,2,1610,2,37.5
22,1.571428571,1602,3,27.27272727
4,4,1580,1,100
5,5,1576,2,32
2,2,1571,1,100
0,0,1569,0,0
