FRUTO,Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,INCIDENCIA,SEVERIDAD
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,100
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
